what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1267622057936
started,bundle,org.eclipse.m2m.qvt.oml.ui,2.0.0.v20090526-1940,"org.eclipse.m2m.qvt.oml.ui",1267622058001
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267622061363
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267622065055
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267622066499
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267622069678
started,bundle,org.eclipse.gmf.runtime.diagram.core,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.core",1267622070746
started,bundle,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.editor",1267622070754
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1267622071156
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1267622071171
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1267622071240
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267622075222
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1267622075277
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1267622076406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267622081356
error,log,,,"Exception loading preferences from: /org.eclipse.ocl/.settings/org.eclipse.jdt.core.prefs.",1267622147293
error,log,,,"Exception loading preferences from: C:/Users/Roberto/workspace/org.eclipse.ocl/.settings/org.eclipse.jdt.core.prefs.",1267622147295
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1267622147309
error,log,,,"Exception loading preferences from: /org.eclipse.ocl.uml/.settings/org.eclipse.jdt.core.prefs.",1267622207381
error,log,,,"Exception loading preferences from: C:/Users/Roberto/workspace/org.eclipse.ocl.uml/.settings/org.eclipse.jdt.core.prefs.",1267622207382
started,bundle,org.eclipse.emf.converter,2.5.0.v200906151043,"org.eclipse.emf.converter",1267622428686
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267622429517
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1267622433542
started,bundle,org.eclipse.pde.build,3.5.1.R35x_20090820,"org.eclipse.pde.build",1267622434255
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1267622439731
