what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577483803
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577483855
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577483897
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267577485303
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577519766
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577530887
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577533742
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577535414
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267577560696
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577561503
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577570027
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267577571639
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267577581217
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267577588951
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267577589742
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577590940
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577596850
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577597426
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577597488
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267577597496
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267577605760
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267577626781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577628673
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267577664484
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267577681723
