what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267571246734
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267571246748
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267571258106
closed,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267571258135
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571294242
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571297456
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267571298541
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571299404
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571300392
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267571301396
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267571303700
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571304580
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571305399
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571307803
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571308632
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267571310338
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571315200
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571317463
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267571322848
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571324214
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571325062
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267571331395
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267571333203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571334274
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267571335119
