what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.gmf.runtime.diagram.core,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.core",1267569997841
started,bundle,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.editor",1267569997844
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1267569999011
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267569999051
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267569999119
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570001567
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1267570001589
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570017525
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267570034852
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267570044300
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267570047123
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267570049271
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570066392
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570082057
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570124996
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570180715
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570205831
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570225352
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267570227606
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570229419
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1267570229451
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570235784
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267570251242
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267570259372
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267570260539
