what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.gmf.runtime.emf.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.ui",1267200474676
started,bundle,org.eclipse.gmf.runtime.notation.edit,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.notation.edit",1267200474783
started,bundle,org.eclipse.uml2.diagram.profile,0.9.0.v200906190654,"org.eclipse.uml2.diagram.profile",1267200474837
started,bundle,org.eclipse.uml2.diagram.csd,0.9.0.v200906190654,"org.eclipse.uml2.diagram.csd",1267200475029
opened,editor,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.part.EcoreDiagramEditorID",1267200476058
started,bundle,org.eclipse.uml2.diagram.activity,0.9.0.v200906190654,"org.eclipse.uml2.diagram.activity",1267200476182
started,bundle,org.eclipse.uml2.diagram.sequence,0.9.0.v200906190654,"org.eclipse.uml2.diagram.sequence",1267200476955
started,bundle,org.eclipse.uml2.diagram.statemachine,0.9.0.v200906190654,"org.eclipse.uml2.diagram.statemachine",1267200477000
started,bundle,org.eclipse.gmf.runtime.emf.type.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.type.ui",1267200477125
started,bundle,org.eclipse.uml2.diagram.parser,0.9.0.v200906190654,"org.eclipse.uml2.diagram.parser",1267200477186
activated,editor,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.part.EcoreDiagramEditorID",1267200477692
started,bundle,org.eclipse.gmf.runtime.common.ui.services.properties,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.services.properties",1267200477945
started,bundle,org.eclipse.gmf.runtime.diagram.ui.properties,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.ui.properties",1267200477957
started,bundle,org.eclipse.gmf.runtime.emf.ui.properties,1.2.0.v20090501-1750,"org.eclipse.gmf.runtime.emf.ui.properties",1267200478172
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267200479759
closed,editor,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.part.EcoreDiagramEditorID",1267200479762
opened,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267200481395
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267200481409
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267200497390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267200510909
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267200515066
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267200516804
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267200633971
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267200644080
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267200644173
