what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199634471
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199635518
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199638215
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199639166
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199647462
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199651598
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199654673
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267199662973
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1267199663295
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199664356
error,log,,,"Errors occurred during the build.",1267199664390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199665873
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199667117
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199669114
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199670171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199671749
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199672554
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199673995
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199676060
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199683432
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267199691885
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1267199691983
error,log,,,"Errors occurred during the build.",1267199692091
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199692391
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267199693591
