what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627579084
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627579162
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267627579178
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1267627588101
opened,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267627588600
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267627588616
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627592438
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627617273
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1267627622780
executed,command,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1267627626914
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627627491
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627711716
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627711778
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627711887
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627719205
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627730983
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1267627730998
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627732901
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627951035
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267627951347
started,bundle,org.eclipse.gmf.runtime.common.core,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.core",1267627951784
stopped,bundle,org.eclipse.emf.teneo.eclipselink.ui,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink.ui",1267627951893
stopped,bundle,org.eclipse.emf.teneo.eclipselink,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink",1267627951893
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.9.0.v200906221231,"org.eclipse.emf.ecoretools.diagram",1267627951893
stopped,bundle,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.editor",1267627951893
