what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1267196434444
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1267196436473
error,log,,,"Errors occurred during the build.",1267196436878
started,bundle,org.eclipse.pde.build,3.5.1.R35x_20090820,"org.eclipse.pde.build",1267196436883
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196436888
opened,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1267196440205
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196440245
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1267196440259
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196441724
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196441840
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267196452371
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1267196460493
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267196476139
opened,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1267196478187
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1267196478271
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196484294
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196512325
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267196514274
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1267196514509
error,log,,,"Errors occurred during the build.",1267196515927
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196515939
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196518949
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267196523036
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1267196527936
error,log,,,"Errors occurred during the build.",1267196527940
